iter	Passed	Remaining
0	1	196
1	3	175
2	4	160
3	6	148
4	7	151
5	9	146
6	11	147
7	12	144
8	14	143
9	15	141
10	17	141
11	19	141
12	20	139
13	22	137
14	23	134
15	25	132
16	26	130
17	28	129
18	29	126
19	31	125
20	33	124
21	34	122
22	36	120
23	37	118
24	39	117
25	40	115
26	42	114
27	43	112
28	45	110
29	46	109
30	48	107
31	49	106
32	51	104
33	58	113
34	60	112
35	61	109
36	63	107
37	67	109
38	68	107
39	70	105
40	71	103
41	72	100
42	74	98
43	75	96
44	77	94
45	79	93
46	81	91
47	82	89
48	84	87
49	85	85
50	87	83
51	88	82
52	90	80
53	91	78
54	93	76
55	97	76
56	99	74
57	100	72
58	101	70
59	103	68
60	104	67
61	106	65
62	107	63
63	109	61
64	111	60
65	113	58
66	114	56
67	116	54
68	117	52
69	119	51
70	120	49
71	122	47
72	123	45
73	125	44
74	127	42
75	128	40
76	129	38
77	131	37
78	132	35
79	133	33
80	135	31
81	136	29
82	137	28
83	139	26
84	141	24
85	142	23
86	143	21
87	145	19
88	146	18
89	147	16
90	149	14
91	150	13
92	152	11
93	153	9
94	154	8
95	156	6
96	157	4
97	158	3
98	160	1
99	161	0
