iter	Passed	Remaining
0	140	140336
1	142	70946
2	143	47757
3	145	36172
4	147	29328
5	148	24659
6	150	21334
7	151	18830
8	153	16878
9	155	15353
10	156	14073
11	158	13022
12	159	12113
13	161	11343
14	162	10670
15	164	10089
16	165	9587
17	167	9146
18	169	8732
19	170	8352
20	171	8011
21	173	7705
22	174	7423
23	176	7161
24	177	6918
25	179	6708
26	180	6512
27	182	6320
28	183	6143
29	184	5979
30	186	5823
31	187	5678
32	189	5542
33	190	5412
34	191	5292
35	193	5181
36	195	5076
37	196	4976
38	198	4884
39	199	4791
40	201	4701
41	202	4616
42	203	4534
43	205	4456
44	206	4381
45	207	4312
46	209	4244
47	210	4177
48	212	4115
49	213	4057
50	214	3998
51	216	3940
52	217	3886
53	218	3835
54	220	3786
55	221	3740
56	223	3697
57	224	3652
58	226	3607
59	227	3564
60	228	3521
61	230	3482
62	231	3444
63	232	3406
64	234	3369
65	235	3336
66	237	3305
67	238	3274
68	240	3245
69	241	3213
70	243	3182
71	244	3153
72	246	3124
73	247	3095
74	248	3068
75	250	3042
76	251	3020
77	253	2999
78	254	2972
79	256	2947
80	257	2923
81	259	2900
82	259	2870
83	261	2850
84	262	2828
85	264	2807
86	265	2786
87	267	2768
88	268	2751
89	270	2731
90	271	2712
91	272	2694
92	274	2675
93	275	2656
94	277	2641
95	278	2624
96	280	2611
97	282	2596
98	283	2581
99	285	2568
100	287	2555
101	288	2540
102	290	2525
103	291	2512
104	292	2496
105	294	2482
106	295	2468
107	297	2456
108	298	2443
109	300	2429
110	301	2415
111	302	2401
112	304	2387
113	305	2375
114	306	2362
115	308	2349
116	309	2334
117	310	2322
118	312	2312
119	313	2301
120	315	2289
121	316	2275
122	317	2264
123	319	2255
124	320	2244
125	322	2233
126	323	2221
127	324	2210
128	325	2200
129	327	2192
130	329	2183
131	330	2173
132	331	2162
133	332	2152
134	334	2144
135	336	2135
136	337	2126
137	338	2116
138	340	2107
139	341	2099
140	343	2092
141	344	2081
142	345	2072
143	347	2064
144	348	2056
145	349	2047
146	351	2037
147	352	2028
148	353	2020
149	354	2011
150	356	2002
151	357	1995
152	358	1987
153	360	1979
154	361	1972
155	363	1965
156	364	1958
157	366	1951
158	367	1944
159	369	1937
160	370	1928
161	371	1922
162	373	1916
163	374	1910
164	376	1903
165	377	1896
166	378	1889
167	380	1882
168	381	1875
169	382	1868
170	384	1861
171	385	1855
172	386	1848
173	388	1843
174	389	1837
175	391	1832
176	392	1826
177	394	1819
178	395	1813
179	396	1806
180	397	1800
181	399	1793
182	400	1786
183	401	1782
184	403	1777
185	404	1771
186	405	1764
187	407	1758
188	408	1752
189	409	1746
190	410	1740
191	412	1734
192	413	1728
193	414	1722
194	415	1717
195	417	1713
196	419	1707
197	420	1702
198	421	1696
199	422	1691
200	424	1686
201	425	1680
202	426	1675
203	427	1669
204	429	1664
205	430	1660
206	432	1655
207	433	1650
208	434	1645
209	436	1640
210	437	1635
211	438	1630
212	439	1625
213	441	1620
214	442	1615
215	443	1609
216	444	1605
217	446	1599
218	447	1595
219	448	1590
220	449	1585
221	451	1581
222	452	1576
223	453	1572
224	455	1567
225	456	1562
226	457	1558
227	458	1553
228	460	1549
229	461	1545
230	463	1541
231	464	1537
232	465	1533
233	466	1528
234	468	1524
235	469	1519
236	470	1515
237	471	1510
238	473	1506
239	474	1502
240	476	1499
241	477	1495
242	478	1491
243	480	1487
244	481	1483
245	482	1479
246	484	1475
247	485	1471
248	486	1467
249	487	1463
250	488	1459
251	490	1455
252	491	1452
253	493	1448
254	494	1444
255	495	1440
256	496	1436
257	497	1432
258	499	1428
259	500	1425
260	502	1422
261	503	1418
262	504	1414
263	506	1412
264	507	1408
265	509	1404
266	510	1400
267	511	1397
268	512	1393
269	514	1390
270	515	1386
271	516	1382
272	518	1379
273	519	1376
274	520	1373
275	522	1370
276	523	1366
277	524	1363
278	526	1359
279	527	1356
280	529	1353
281	530	1350
282	531	1346
283	532	1342
284	533	1339
285	535	1336
286	536	1333
287	537	1329
288	539	1326
289	540	1322
290	541	1320
291	543	1316
292	544	1313
293	545	1310
294	546	1306
295	548	1303
296	549	1300
297	550	1297
298	552	1294
299	553	1291
300	554	1288
301	556	1285
302	557	1282
303	558	1279
304	560	1276
305	561	1272
306	562	1269
307	563	1266
308	565	1263
309	566	1261
310	567	1257
311	569	1254
312	570	1252
313	572	1249
314	573	1246
315	574	1243
316	575	1240
317	577	1237
318	578	1234
319	579	1231
320	581	1229
321	582	1226
322	584	1224
323	585	1221
324	586	1218
325	587	1215
326	589	1212
327	590	1209
328	591	1206
329	592	1203
330	594	1200
331	595	1198
332	597	1195
333	598	1193
334	599	1190
335	600	1187
336	602	1184
337	603	1181
338	604	1178
339	605	1176
340	607	1173
341	608	1170
342	610	1168
343	611	1166
344	612	1163
345	614	1160
346	615	1158
347	616	1155
348	617	1152
349	619	1149
350	620	1147
351	621	1144
352	622	1141
353	624	1139
354	625	1137
355	627	1134
356	628	1131
357	629	1129
358	630	1126
359	632	1123
360	633	1120
361	634	1118
362	635	1115
363	636	1112
364	638	1110
365	639	1108
366	641	1106
367	642	1103
368	643	1101
369	645	1098
370	646	1096
371	647	1093
372	649	1091
373	650	1088
374	651	1086
375	653	1083
376	654	1081
377	656	1079
378	657	1077
379	658	1075
380	660	1072
381	661	1070
382	662	1068
383	664	1065
384	665	1063
385	666	1060
386	668	1058
387	669	1056
388	671	1053
389	672	1051
390	673	1049
391	675	1047
392	676	1044
393	677	1042
394	678	1039
395	680	1037
396	681	1035
397	682	1032
398	684	1030
399	685	1028
400	686	1026
401	688	1023
402	689	1021
403	690	1018
404	691	1016
405	693	1014
406	694	1011
407	695	1009
408	697	1007
409	698	1004
410	700	1003
411	701	1000
412	702	998
413	704	996
414	705	994
415	706	991
416	707	989
417	709	987
418	710	984
419	711	982
420	712	980
421	714	978
422	716	976
423	717	974
424	718	972
425	719	969
426	721	967
427	722	965
428	723	963
429	724	960
430	726	958
431	727	956
432	729	954
433	730	952
434	731	950
435	733	948
436	734	946
437	735	944
438	737	942
439	738	940
440	740	938
441	741	936
442	743	934
443	744	932
444	745	930
445	747	927
446	748	925
447	749	923
448	751	921
449	752	919
450	753	917
451	754	915
452	756	913
453	757	910
454	758	908
455	760	906
456	761	904
457	762	902
458	764	901
459	765	899
460	767	897
461	768	895
462	770	893
463	771	891
464	772	889
465	774	887
466	775	885
467	777	883
468	778	881
469	779	879
470	780	877
471	782	875
472	783	872
473	784	870
474	785	868
475	786	866
476	788	864
477	789	862
478	791	860
479	792	858
480	793	856
481	794	854
482	796	852
483	797	850
484	798	848
485	799	846
486	801	843
487	802	841
488	803	840
489	805	838
490	806	836
491	807	833
492	808	831
493	810	829
494	811	827
495	812	825
496	813	823
497	814	821
498	815	819
499	817	817
500	818	815
501	820	813
502	821	811
503	822	809
504	823	807
505	825	805
506	826	803
507	827	801
508	828	799
509	830	797
510	831	795
511	832	793
512	834	792
513	835	790
514	836	788
515	838	786
516	839	784
517	840	782
518	841	779
519	842	777
520	843	775
521	845	773
522	846	771
523	847	769
524	849	768
525	850	766
526	851	764
527	852	762
528	853	760
529	855	758
530	856	756
531	857	754
532	858	752
533	861	751
534	865	752
535	869	752
536	870	750
537	872	749
538	873	747
539	876	746
540	880	746
541	881	745
542	883	743
543	884	741
544	886	739
545	887	737
546	889	736
547	891	735
548	892	733
549	895	733
550	897	731
551	898	729
552	900	727
553	901	726
554	903	724
555	904	722
556	906	721
557	908	719
558	910	718
559	913	717
560	915	716
561	916	714
562	918	712
563	919	710
564	921	709
565	922	707
566	924	706
567	925	704
568	927	702
569	928	700
570	930	698
571	932	697
572	933	695
573	935	693
574	936	692
575	937	690
576	939	688
577	940	686
578	942	685
579	943	683
580	944	681
581	946	679
582	948	678
583	949	676
584	950	674
585	952	672
586	953	670
587	954	669
588	956	667
589	957	665
590	959	664
591	960	662
592	962	660
593	963	658
594	964	656
595	965	654
596	967	653
597	968	651
598	970	649
599	971	647
600	973	646
601	974	644
602	976	642
603	977	640
604	979	639
605	980	637
606	981	635
607	982	633
608	983	631
609	985	629
610	986	628
611	987	626
612	988	624
613	990	622
614	991	620
615	993	619
616	994	617
617	995	615
618	996	613
619	997	611
620	999	609
621	1000	608
622	1001	606
623	1003	604
624	1004	602
625	1005	600
626	1006	599
627	1008	597
628	1009	595
629	1010	593
630	1011	591
631	1012	589
632	1014	587
633	1015	586
634	1017	584
635	1018	582
636	1019	581
637	1020	579
638	1021	577
639	1023	575
640	1024	574
641	1026	572
642	1027	570
643	1028	568
644	1029	566
645	1031	565
646	1033	563
647	1034	561
648	1035	559
649	1036	558
650	1037	556
651	1038	554
652	1039	552
653	1041	550
654	1042	548
655	1043	547
656	1045	545
657	1047	544
658	1048	542
659	1049	540
660	1050	538
661	1051	537
662	1053	535
663	1054	533
664	1055	531
665	1057	530
666	1058	528
667	1059	526
668	1061	525
669	1062	523
670	1064	521
671	1065	520
672	1066	518
673	1068	516
674	1069	514
675	1070	513
676	1071	511
677	1073	509
678	1074	508
679	1076	506
680	1077	504
681	1079	503
682	1080	501
683	1082	499
684	1083	498
685	1084	496
686	1085	494
687	1087	492
688	1088	491
689	1089	489
690	1091	487
691	1092	486
692	1094	484
693	1095	482
694	1096	481
695	1097	479
696	1098	477
697	1099	475
698	1101	474
699	1102	472
700	1103	470
701	1104	469
702	1106	467
703	1107	465
704	1108	464
705	1110	462
706	1111	460
707	1113	459
708	1114	457
709	1115	455
710	1117	454
711	1118	452
712	1119	450
713	1121	449
714	1122	447
715	1124	445
716	1125	444
717	1126	442
718	1128	440
719	1129	439
720	1130	437
721	1132	435
722	1133	434
723	1134	432
724	1136	430
725	1137	429
726	1138	427
727	1140	426
728	1141	424
729	1143	422
730	1144	421
731	1146	419
732	1147	417
733	1148	416
734	1149	414
735	1151	413
736	1152	411
737	1154	409
738	1155	408
739	1157	406
740	1158	404
741	1159	403
742	1160	401
743	1162	399
744	1163	398
745	1164	396
746	1165	394
747	1167	393
748	1168	391
749	1170	390
750	1171	388
751	1173	387
752	1175	385
753	1176	383
754	1178	382
755	1179	380
756	1180	379
757	1182	377
758	1183	375
759	1184	373
760	1185	372
761	1187	370
762	1188	369
763	1190	367
764	1192	366
765	1193	364
766	1194	362
767	1195	361
768	1197	359
769	1198	357
770	1199	356
771	1200	354
772	1202	353
773	1203	351
774	1205	349
775	1206	348
776	1208	346
777	1209	345
778	1210	343
779	1211	341
780	1213	340
781	1214	338
782	1215	336
783	1217	335
784	1218	333
785	1219	332
786	1221	330
787	1222	328
788	1223	327
789	1225	325
790	1226	324
791	1227	322
792	1228	320
793	1229	319
794	1231	317
795	1232	315
796	1234	314
797	1235	312
798	1237	311
799	1238	309
800	1239	307
801	1240	306
802	1241	304
803	1243	303
804	1244	301
805	1245	299
806	1246	298
807	1248	296
808	1249	295
809	1251	293
810	1252	291
811	1254	290
812	1255	288
813	1256	287
814	1257	285
815	1258	283
816	1260	282
817	1262	280
818	1263	279
819	1265	277
820	1266	276
821	1268	274
822	1269	273
823	1270	271
824	1271	269
825	1273	268
826	1274	266
